date,EU_EQUITY,GOLD,US_EQUITY,US_GOV_BOND,US_HIGH_YIELD_BOND,US_IG_CORP_BOND,portfolio_pnl,loss
2025-04-04,-612.7007443994443,-233.92262736282922,-1756.2865192076893,56.08640613301574,-142.5463253313919,-16.529249033123694,-2705.8990592014625,2705.8990592014625
2025-04-03,-247.579427019754,-60.38278082531101,-1478.4273218947562,205.64030072546925,-124.28586491622818,-1.3784224710705617,-1706.4135164016507,1706.4135164016507
2025-04-07,-694.1442426490752,-214.8580630415131,-53.43565357189162,-238.1976762370952,-85.97825394353941,-292.334423885362,-1578.9483133284764,1578.9483133284764
2024-12-18,-20.005717086303832,-191.85077837713283,-894.1038346051455,-154.58787935070274,-102.68244421772765,-185.97070986149654,-1549.201363498509,1549.201363498509
2025-04-10,540.4866824572185,244.23579443014097,-1314.5686409824332,-124.69487731727513,-163.28262367775625,-254.97157559706218,-1072.795240687167,1072.795240687167
