position_id,asset_id,asset_name,asset_class,quantity,currency,price,local_market_value,usd_per_unit,market_value_usd,portfolio_weight
P001,US_EQUITY,SPDR S&P 500 ETF,equity,43.899550483321974,USD,683.3782958984375,30000.0,1.0,30000.0,0.3
P002,EU_EQUITY,iShares STOXX Europe 600 ETF,equity,220.38355242508263,EUR,57.81352233886719,12741.149431246422,1.1772878170013428,15000.0,0.15
P003,US_GOV_BOND,iShares 7-10 Year Treasury Bond ETF,government_bond,212.0865653374256,USD,94.30111694335938,20000.0,1.0,20000.0,0.2
P004,US_IG_CORP_BOND,iShares Investment Grade Corporate Bond ETF,corporate_bond,138.62602800131825,USD,108.2047882080078,15000.0,1.0,15000.0,0.15
P005,US_HIGH_YIELD_BOND,iShares High Yield Corporate Bond ETF,high_yield_bond,128.24470442184554,USD,77.9759292602539,10000.0,1.0,10000.0,0.1
P006,GOLD,SPDR Gold Shares,commodity,25.06956713071276,USD,398.8900146484375,10000.0,1.0,10000.0,0.1
