model,folds,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_precision,mean_recall,mean_f1_score,mean_event_rate,total_true_positive,total_false_positive,total_false_negative,average_precision_lift
Logistic (+ rates),6,0.5427291108541137,0.10705439771516967,0.14534508314207548,0.07158857645599202,0.13503173031070026,0.3625870550240298,0.16399077603833231,0.10484075541928421,80,415,76,1.3863414333558013
Logistic (market),6,0.5706997673992523,0.07916762710482027,0.15100608679094152,0.0960697058582143,0.13529945636911267,0.44755877098314073,0.2038317881781899,0.10484075541928421,78,440,78,1.4403376452890928
Volatility score,6,0.5004389144285599,0.12330402147291306,0.12991265152820208,0.10689721242671038,0.06904452978234736,0.2434173669467787,0.10423446353361815,0.10484075541928421,57,303,99,1.239142650285656
XGBoost (+ rates),6,0.5446512030641055,0.10858974361528942,0.13862552996202473,0.04638514733312336,0.13224259048958595,0.17489551376105997,0.13070581434243247,0.10484075541928421,34,158,122,1.3222484844526998
XGBoost (market),6,0.5704236322241502,0.06958344320217433,0.13657618662073512,0.04302394345656881,0.13696739121969456,0.4219834903658433,0.19464962529315585,0.10484075541928421,63,383,93,1.3027012832417415
